state_abbr,year,robbery rate
AK,1995,155.13245033112582
AK,1996,116.9686985172982
AK,1997,106.4039408866995
AK,1998,86.64495114006515
AK,1999,91.36400322841001
AK,2000,78.15839676392336
AK,2001,81.11989646954848
AK,2002,76.22973053024091
AK,2003,68.79743320787314
AK,2004,67.9584343714605
AK,2005,80.96457912742197
AK,2006,89.54515538323088
AK,2007,85.00639376834367
AK,2008,93.98318211026486
AK,2009,93.63282474769963
AK,2010,83.17626927827082
AK,2011,79.57339817091703
AK,2012,86.26509125614297
AK,2013,84.50218986814674
AK,2014,85.34067073154186
AK,2015,103.15720697456585
AK,2016,114.57162343946709
AL,1995,185.7512344227604
AL,1996,166.721273110227
AL,1997,160.47696225978237
AL,1998,130.92830882352942
AL,1999,121.21664253928385
AL,2000,128.2183895122664
AL,2001,124.95211362407673
AL,2002,133.11316002872135
AL,2003,134.06677049181056
AL,2004,133.51379719912714
AL,2005,141.74442602741624
AL,2006,153.55411902075002
AL,2007,159.85821496845944
AL,2008,157.57523756408332
AL,2009,133.05135931130152
AL,2010,101.6424746849846
AL,2011,102.12984229412021
AL,2012,104.2028193712626
AL,2013,96.09027396795528
AL,2014,97.02024859220566
AL,2015,95.01686796631557
AL,2016,96.3543273086176
AR,1995,125.68438003220612
AR,1996,114.10358565737052
AR,1997,111.53388822829965
AR,1998,96.21749408983452
AR,1999,79.32983534747761
AR,2000,74.84850751851575
AR,2001,80.93671350184697
AR,2002,93.26496858404268
AR,2003,81.64166092938784
AR,2004,86.25454545454545
AR,2005,91.21996982391519
AR,2006,97.79883253310716
AR,2007,109.53165253102779
AR,2008,97.25466573742992
AR,2009,89.15191472425548
AR,2010,81.08603951001989
AR,2011,80.2087537458543
AR,2012,78.30965059657716
AR,2013,76.417018587147
AR,2014,68.65902552720323
AR,2015,71.09148772622423
AR,2016,70.94458023564309
AZ,1995,173.75533428165008
AZ,1996,167.77326106594398
AZ,1997,165.68605927552142
AZ,1998,165.23880916684516
AZ,1999,152.52184235000834
AZ,2000,146.2587844928266
AZ,2001,167.1011270846657
AZ,2002,147.02841783638493
AZ,2003,136.56025876009235
AZ,2004,134.5150307175465
AZ,2005,144.11204287177893
AZ,2006,153.9168106477804
AZ,2007,154.03655765209413
AZ,2008,150.90351344116624
AZ,2009,124.30679140504729
AZ,2010,108.41772493364424
AZ,2011,110.47861438634116
AZ,2012,112.69778782317422
AZ,2013,100.31654874900471
AZ,2014,92.51301461200339
AZ,2015,93.28843949415958
AZ,2016,101.78802092779024
CA,1995,331.16274652568933
CA,1996,295.57061296191733
CA,1997,252.4730383042023
CA,1998,210.55499433679248
CA,1999,181.13978223220244
CA,2000,177.87442760387685
CA,2001,186.74316583567105
CA,2002,185.61232496921747
CA,2003,179.82268248406947
CA,2004,172.33395042993928
CA,2005,175.97428035019053
CA,2006,195.13654085742297
CA,2007,193.43305369992763
CA,2008,188.77664258232778
CA,2009,173.40398960393125
CA,2010,155.6475757078582
CA,2011,144.06935709178762
CA,2012,148.7399512177381
CA,2013,139.57339511476985
CA,2014,125.49142818092389
CA,2015,135.56465440527427
CA,2016,139.58974845794333
CO,1995,96.18361355751267
CO,1996,98.22129217891708
CO,1997,83.27767788338042
CO,1998,81.54117350793251
CO,1999,75.34269709597787
CO,2000,70.53745401639193
CO,2001,80.23039551666682
CO,2002,79.51476221886844
CO,2003,82.19660645439068
CO,2004,81.2504441176656
CO,2005,84.66116769365867
CO,2006,80.4480688150761
CO,2007,71.19179926422113
CO,2008,68.91447155314269
CO,2009,67.0879415246297
CO,2010,62.682112933990425
CO,2011,64.48016555707619
CO,2012,65.36328071255225
CO,2013,59.48309644417788
CO,2014,56.70712534272614
CO,2015,60.83887168944316
CO,2016,63.6760463095237
CT,1995,163.206106870229
CT,1996,169.57849725106902
CT,1997,152.87461773700306
CT,1998,133.75076359193648
CT,1999,123.52107582164824
CT,2000,112.52171078807775
CT,2001,121.789948296775
CT,2002,117.6492018272202
CT,2003,120.79289696469131
CT,2004,119.69250344244557
CT,2005,112.34892668639796
CT,2006,127.25372481068155
CT,2007,122.86180345594863
CT,2008,115.47297937994752
CT,2009,113.72008203990123
CT,2010,99.37077296645111
CT,2011,102.85171648613482
CT,2012,103.26399416442891
CT,2013,98.6569485914227
CT,2014,88.23949958300439
CT,2015,81.59610347222804
CT,2016,75.57769543670655
DC,1995,1238.9891696750904
DC,1996,1186.7403314917126
DC,1997,850.8506616257089
DC,1998,689.4837476099426
DC,1999,644.3159922928709
DC,2000,621.2645898412576
DC,2001,658.74086389159
DC,2002,673.6278390672521
DC,2003,706.7537032387647
DC,2004,577.7291024269314
DC,2005,635.685311717742
DC,2006,658.4355063367324
DC,2007,724.9801119172112
DC,2008,748.5219648110193
DC,2009,734.4198433437782
DC,2010,714.9800301531462
DC,2011,661.3679687247585
DC,2012,637.3267953528978
DC,2013,628.8600871037465
DC,2014,529.9801768924399
DC,2015,558.7900539547151
DC,2016,510.8856819883436
DE,1995,198.744769874477
DE,1996,179.86206896551724
DE,1997,243.5792349726776
DE,1998,194.22043010752688
DE,1999,197.9993046137023
DE,2000,177.89688616641143
DE,2001,145.11692834161227
DE,2002,143.18594941342153
DE,2003,176.1256273176837
DE,2004,161.79377858949076
DE,2005,155.15461406774767
DE,2006,209.84772858287755
DE,2007,203.87065141472124
DE,2008,211.54700764638778
DE,2009,189.80434335605713
DE,2010,204.38056795348257
DE,2011,171.56001792681062
DE,2012,163.34933749739656
DE,2013,133.26272102373437
DE,2014,135.7952408629355
DE,2015,131.34535778899158
DE,2016,142.742354776197
FL,1995,299.9082309755753
FL,1996,289.1875
FL,1997,276.0952640917156
FL,1998,242.6790024135157
FL,1999,211.5576983602409
FL,2000,199.02545165681852
FL,2001,200.73497571966118
FL,2002,195.19280868977944
FL,2003,185.43834552970523
FL,2004,172.54103004642394
FL,2005,169.63460151908544
FL,2006,188.7629155028489
FL,2007,209.05425455132016
FL,2008,197.87934968469594
FL,2009,166.74426416399768
FL,2010,138.47091609132795
FL,2011,134.2712934137473
FL,2012,123.64427486739774
FL,2013,118.3654687928166
FL,2014,108.61784458409603
FL,2015,104.40646969406735
FL,2016,97.87779117260213
GA,1995,205.20761005415915
GA,1996,205.35835713314293
GA,1997,206.69249265295218
GA,1998,187.22847422140802
GA,1999,166.43041303298307
GA,2000,161.8527584535085
GA,2001,171.3365859763586
GA,2002,157.20964582768855
GA,2003,161.8517229376958
GA,2004,153.126289157737
GA,2005,153.7467124472204
GA,2006,165.64606718474624
GA,2007,181.15718064904792
GA,2008,183.85784303198596
GA,2009,148.85223239179624
GA,2010,127.38673808506185
GA,2011,125.00433122784705
GA,2012,126.08356530678888
GA,2013,127.1066165777484
GA,2014,126.63001731580809
GA,2015,122.99745534001124
GA,2016,118.3759536877965
HI,1995,130.8340353833193
HI,1996,135.6418918918919
HI,1997,118.19713563605728
HI,1998,102.68231349538978
HI,1999,88.06433082496201
HI,2000,92.69217531119561
HI,2001,93.07071418325965
HI,2002,97.52849887519818
HI,2003,93.53315902639028
HI,2004,74.79455267469757
HI,2005,78.61598174161495
HI,2006,88.99274833566447
HI,2007,87.42484735715153
HI,2008,84.22618262099459
HI,2009,79.52574858436446
HI,2010,78.11588877177618
HI,2011,72.12677477942921
HI,2012,80.93001172585947
HI,2013,66.28875922914831
HI,2014,67.0301220131286
HI,2015,84.03167637955495
HI,2016,69.58070276509793
IA,1995,53.02603800140746
IA,1996,45.09116409537167
IA,1997,55.85553997194951
IA,1998,50.87351502445842
IA,1999,36.627700508780016
IA,2000,36.59881817597778
IA,2001,39.359242447135316
IA,2002,39.818246225952365
IA,2003,38.443549505502425
IA,2004,39.283363089352044
IA,2005,38.88014394757891
IA,2006,43.89546240298315
IA,2007,44.443760236622865
IA,2008,41.59790578357432
IA,2009,39.92877318595039
IA,2010,33.178130497586714
IA,2011,26.89209904255642
IA,2012,31.284156070866093
IA,2013,30.300668652001832
IA,2014,33.671213942133754
IA,2015,33.632319313567564
IA,2016,36.62240608569962
ID,1995,23.98968185726569
ID,1996,20.269133725820016
ID,1997,19.58677685950413
ID,1998,21.480878763222133
ID,1999,17.815770552049212
ID,2000,17.23401081801271
ID,2001,18.552383981341602
ID,2002,17.868789478856755
ID,2003,17.922012181116198
ID,2004,17.27425204638961
ID,2005,18.609636293548125
ID,2006,20.048211174491037
ID,2007,16.206460975775677
ID,2008,15.684308341689547
ID,2009,16.43161053719075
ID,2010,13.557362921057958
ID,2011,11.870605350359654
ID,2012,15.229476243897242
ID,2013,13.64050933661863
ID,2014,12.417375517339671
ID,2015,11.555951375460726
ID,2016,12.654918782751286
IL,1995,330.84530853761623
IL,1996,279.4462733181396
IL,1997,278.4381304640215
IL,1998,248.45994188459943
IL,1999,217.38287997480288
IL,2000,206.4610280150408
IL,2001,199.1257826235898
IL,2002,201.121094777581
IL,2003,188.0451925107322
IL,2004,177.6429482152949
IL,2005,182.17173620592558
IL,2006,185.3339744404016
IL,2007,179.73089849576908
IL,2008,186.44252638226857
IL,2009,177.5544059061181
IL,2010,158.74499103720765
IL,2011,157.21142989382687
IL,2012,151.38101762858372
IL,2013,137.56586994878108
IL,2014,118.54351772047437
IL,2015,117.2672706938451
IL,2016,139.25669405842532
IN,1995,135.1714630363605
IN,1996,124.10546139359698
IN,1997,132.38403819918145
IN,1998,111.22224105780641
IN,1999,109.3068856438968
IN,2000,103.31412708032336
IN,2001,117.04424357280858
IN,2002,107.39148011349194
IN,2003,103.24907965405994
IN,2004,102.35223849147609
IN,2005,108.66548601272993
IN,2006,113.64500310444886
IN,2007,123.63503065029819
IN,2008,118.86854706880827
IN,2009,114.38378867069596
IN,2010,101.05348917253231
IN,2011,107.06909217471798
IN,2012,100.96696402541413
IN,2013,108.26831121675836
IN,2014,104.4881083014544
IN,2015,107.08072625563153
IN,2016,110.50718274073793
KS,1995,108.18713450292398
KS,1996,96.26749611197512
KS,1997,97.6878612716763
KS,1998,86.99125142639787
KS,1999,77.12735093359136
KS,2000,76.17862996007317
KS,2001,89.67016699819587
KS,2002,79.83718377192157
KS,2003,82.46519176184846
KS,2004,66.28386393956609
KS,2005,65.31614469545575
KS,2006,67.94316362616789
KS,2007,72.83869543086682
KS,2008,59.98999334078955
KS,2009,63.36148650446457
KS,2010,53.792342670513506
KS,2011,50.44617692533339
KS,2012,51.74329503243573
KS,2013,46.23936520499855
KS,2014,46.890498455300886
KS,2015,62.716717565944585
KS,2016,57.47622613369362
KY,1995,103.65284974093264
KY,1996,93.79505664263645
KY,1997,90.73694984646878
KY,1998,88.10975609756098
KY,1999,78.36751181887612
KY,2000,80.55878502705127
KY,2001,80.34278276530569
KY,2002,76.55589900978576
KY,2003,78.28683919072193
KY,2004,78.90222570430738
KY,2005,88.4339003328374
KY,2006,91.5342906472877
KY,2007,95.91005391050375
KY,2008,95.56724901007087
KY,2009,84.4205981623569
KY,2010,86.21595901567507
KY,2011,84.84446555314699
KY,2012,80.986727492334
KY,2013,73.80244900482614
KY,2014,75.76003083884234
KY,2015,74.89923972977512
KY,2016,75.93012715422718
LA,1995,268.5859051128512
LA,1996,276.62606297402897
LA,1997,239.13143382352942
LA,1998,198.0086976424811
LA,1999,173.62624041207354
LA,2000,168.53972811668714
LA,2001,175.91392923356645
LA,2002,159.1307968916436
LA,2003,155.95288033264606
LA,2004,145.6502950616695
LA,2005,118.40710167502675
LA,2006,138.25374880357333
LA,2007,147.11623300453462
LA,2008,141.49373491768833
LA,2009,136.9077459953928
LA,2010,116.53685981453985
LA,2011,114.43208242782254
LA,2012,118.5971551458519
LA,2013,119.6513326898933
LA,2014,123.14502719945622
LA,2015,119.10575374387444
LA,2016,119.10290054865084
MA,1995,150.42805400065853
MA,1996,127.67564018384766
MA,1997,109.12062765609676
MA,1998,96.59996746380348
MA,1999,96.04595436983182
MA,2000,91.58782737135691
MA,2001,101.16909986996114
MA,2002,111.63536703105048
MA,2003,124.77499304166419
MA,2004,116.80277529886621
MA,2005,121.81801535649994
MA,2006,125.5205490964773
MA,2007,108.85684805081743
MA,2008,108.91098708257522
MA,2009,113.24640138971398
MA,2010,105.20991185066019
MA,2011,102.43676293169536
MA,2012,98.64110033808842
MA,2013,99.94225558566161
MA,2014,89.96133897764128
MA,2015,77.62107472612998
MA,2016,78.76062919833424
MD,1995,423.1257437524792
MD,1996,393.217665615142
MD,1997,336.80800942285043
MD,1998,298.7147030185005
MD,1999,263.6690840844499
MD,2000,256.0188018999767
MD,2001,251.1103160573768
MD,2002,246.15977359979084
MD,2003,241.31443986277986
MD,2004,229.65721161764844
MD,2005,257.2277546206803
MD,2006,255.99535020131856
MD,2007,235.9770067478958
MD,2008,234.36181182289042
MD,2009,210.66841559876184
MD,2010,191.05788929600507
MD,2011,177.1020204905428
MD,2012,172.86708894744962
MD,2013,169.1942242938187
MD,2014,160.07441242733057
MD,2015,168.6576926073018
MD,2016,171.01455393856207
ME,1995,26.913779210314264
ME,1996,23.49155269509252
ME,1997,20.69243156199678
ME,1998,21.141479099678456
ME,1999,19.392836621336908
ME,2000,19.37371904028714
ME,2001,20.553224287060033
ME,2002,20.85112758264383
ME,2003,22.074465037942872
ME,2004,21.977437004984846
ME,2005,24.502738541366387
ME,2006,28.980594351886463
ME,2007,26.495455915433187
ME,2008,25.295186470341584
ME,2009,30.266229032671596
ME,2010,31.03861067562467
ME,2011,27.8500373341041
ME,2012,31.6145791384425
ME,2013,25.212575882327265
ME,2014,22.852744133460025
ME,2015,23.393079710226687
ME,2016,19.977784103241582
MI,1995,187.29709917268823
MI,1996,176.22472378569938
MI,1997,152.79312461632904
MI,1998,155.78078842823672
MI,1999,142.97771390770774
MI,2000,137.9692837228846
MI,2001,129.2889875204197
MI,2002,117.96016437356103
MI,2003,111.62064769730591
MI,2004,112.1909034712871
MI,2005,132.14751694241454
MI,2006,140.94198853901628
MI,2007,132.69694400874042
MI,2008,132.41468769387114
MI,2009,124.64734490723768
MI,2010,116.65316579905748
MI,2011,103.91016281486283
MI,2012,105.46906107643203
MI,2013,101.96810670392061
MI,2014,81.04832585843963
MI,2015,78.82864147638847
MI,2016,71.71419074766072
MN,1995,123.68763557483732
MN,1996,115.60755689136968
MN,1997,114.6606914212548
MN,1998,92.5079365079365
MN,1999,82.02268742927454
MN,2000,75.4754720977567
MN,2001,75.39319114019663
MN,2002,78.35151750590224
MN,2003,77.13008167969018
MN,2004,79.8580057945126
MN,2005,92.14434360711556
MN,2006,105.30082535642326
MN,2007,91.77275526630356
MN,2008,80.05144440274898
MN,2009,68.72109640815964
MN,2010,63.79623767902207
MN,2011,63.30298717165432
MN,2012,64.5953283914964
MN,2013,67.76022397391398
MN,2014,67.56304830840415
MN,2015,68.78330522842496
MN,2016,67.53681916074632
MO,1995,204.03831705484598
MO,1996,170.59152827019966
MO,1997,156.05331358756015
MO,1998,149.21860636146351
MO,1999,130.7344205862915
MO,2000,135.79470014625008
MO,2001,137.8494597333586
MO,2002,123.8900341896985
MO,2003,116.9043803997899
MO,2004,115.11351964013743
MO,2005,124.11812057292344
MO,2006,130.02521260243316
MO,2007,131.46400858054426
MO,2008,125.09293161501826
MO,2009,124.20710871504014
MO,2010,103.15700462747145
MO,2011,104.42697134823457
MO,2012,95.9744192153336
MO,2013,90.75393425583842
MO,2014,92.2189897567988
MO,2015,105.04913923232334
MO,2016,107.82865583456426
MS,1995,130.88616981831666
MS,1996,134.2415316642121
MS,1997,136.98279018674478
MS,1998,123.32848837209302
MS,1999,111.64410848874475
MS,2000,95.0202098108103
MS,2001,115.18557851379832
MS,2002,117.06705856457508
MS,2003,104.62798437795958
MS,2004,86.28749351895773
